Query #   Literal   Document                      Rank      BM25 Score                    System Name

2         Q0        corpus/CACM-3078.txt          1         19.7064212546                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-2434.txt          2         13.9953835578                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-2863.txt          3         12.6175239867                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-0397.txt          4         5.6175745308                  unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-1046.txt          5         5.60587756819                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-1867.txt          6         2.00389180225                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-1014.txt          7         1.9073420538                  unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-0492.txt          8         1.79591797145                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-1397.txt          9         1.69186951941                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-0435.txt          10        1.68158878341                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-1623.txt          11        1.63326327235                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-0616.txt          12        1.34652952621                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-0531.txt          13        1.33854671746                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-3136.txt          14        1.21632916642                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-0047.txt          15        1.19383601107                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-2250.txt          16        1.14462990919                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-3129.txt          17        1.13048604494                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-0497.txt          18        1.00963035236                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-1364.txt          19        0.96754326529                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-0058.txt          20        0.88824773454                 unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-0276.txt          21        0.886719217049                unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-2304.txt          22        0.843490633717                unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-3180.txt          23        0.820751313535                unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-1012.txt          24        0.803580272094                unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-0123.txt          25        0.787463530925                unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-3117.txt          26        0.733087140749                unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-2125.txt          27        0.730849908339                unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-0854.txt          28        0.704499705911                unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-2195.txt          29        0.682808705665                unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-2276.txt          30        0.679006011013                unigram_casefolded_BM25_proximity
2         Q0        corpus/CACM-1915.txt          31        0.662153355093                unigram_casefolded_BM25_proximity
